symbol,name,profit,win,loss,trades,winRate
6526,ソシオネクスト,0,0,0,0,0.000
6920,レーザーテック,0,0,0,0,0.000
6857,アドバンテスト,0,0,0,0,0.000
9107,川崎汽船,0,0,0,0,0.000
8306,三菱UFJ FG,0,0,0,0,0.000
9984,ソフトバンクグループ,0,0,0,0,0.000
8035,東京エレクトロン,0,0,0,0,0.000
7011,三菱重工業,0,0,0,0,0.000
4568,第一三共,0,0,0,0,0.000
5803,フジクラ,0,0,0,0,0.000
5016,JX金属,0,0,0,0,0.000
8316,三井住友FG,0,0,0,0,0.000
6758,ソニーグループ,0,0,0,0,0.000
6723,ルネサスエレクトロニクス,0,0,0,0,0.000
7203,トヨタ自動車,0,0,0,0,0.000
285A,キオクシアHD,35200,12,13,25,0.480
3778,さくらインターネット,37700,38,50,88,0.432
6976,太陽誘電,133700,46,36,82,0.561
6981,村田製作所,207900,47,43,90,0.522
3436,SUMCO,324850,49,39,88,0.557
